region_cn,region_en,year,natural_grassland_forage_10e7kg,crop_straw_forage_10e7kg,forage_demand_10e7kg,total_forage_supply_10e7kg,supply_demand_gap_10e7kg,supply_demand_ratio,data_source,source_id,dataset_name,is_sample
东北地区,Northeastern China,2005,1062.575751,1697.56334,21615.7993,2760.139091,-18855.660209,0.127691,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2006,1026.569462,1849.42124,17880.21828,2875.990702,-15004.227578,0.160848,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2007,972.55374,1710.55532,18431.83203,2683.10906,-15748.722971,0.145569,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2008,984.165255,1959.61006,18696.3735,2943.775315,-15752.598185,0.157452,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2009,1071.053627,2004.464446,17746.58699,3075.518073,-14671.068917,0.173302,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2010,1037.453886,2130.994088,17054.2464,3168.447974,-13885.798426,0.185786,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2011,1062.797477,2346.050466,16626.85745,3408.847943,-13218.009507,0.205021,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2012,1054.442962,2529.61218,16674.7709,3584.055142,-13090.715758,0.214939,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2013,1117.615165,2713.272516,15197.27306,3830.887681,-11366.385379,0.252077,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2014,1152.724683,2648.54857,15257.59642,3801.273253,-11456.323167,0.24914,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2015,1058.754887,2816.948327,15984.31101,3875.703214,-12108.607796,0.242469,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2016,1088.638277,2624.685373,15363.93143,3713.32365,-11650.60778,0.241691,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2017,1080.332385,2908.422994,13820.19759,3988.755379,-9831.442211,0.288618,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2018,1148.027218,2722.524828,13821.00295,3870.552046,-9950.450904,0.280049,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2019,1112.515403,2871.32064,14701.21157,3983.836043,-10717.375527,0.270987,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
东北地区,Northeastern China,2020,1109.282444,2822.790394,14210.87428,3932.072838,-10278.801442,0.276695,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2000,1072.602646,1183.14666,96368.2715,2255.749306,-94112.522194,0.023408,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2001,998.657864,1166.88462,87764.33456,2165.542484,-85598.792076,0.024675,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2002,1174.770699,1213.39978,90460.12578,2388.170479,-88071.955301,0.0264,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2003,1374.30354,1113.40614,88280.11082,2487.70968,-85792.40114,0.02818,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2004,1474.644896,1263.37298,84133.15122,2738.017876,-81395.133344,0.032544,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2005,1323.08419,1332.81382,73537.11986,2655.89801,-70881.22185,0.036116,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2006,1355.825515,1435.59824,52496.3369,2791.423755,-49704.913145,0.053174,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2007,1252.26503,1468.56018,42730.08841,2720.82521,-40009.2632,0.063675,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2008,1521.93981,1508.67001,38982.176,3030.60982,-35951.56618,0.077743,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2009,1422.853891,1552.498233,40267.21193,2975.352124,-37291.859806,0.07389,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2010,1385.166611,1595.116751,34607.33579,2980.283362,-31627.052428,0.086117,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2011,1421.442544,1668.290944,35785.44028,3089.733488,-32695.706792,0.086341,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2012,1597.797521,1705.832313,35826.54257,3303.629834,-32522.912736,0.092212,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2013,1547.423832,1771.44888,34495.16333,3318.872712,-31176.290618,0.096213,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2014,1509.278811,1793.645121,38905.18438,3302.923932,-35602.260448,0.084897,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2015,1579.507745,1810.257631,37995.08329,3389.765376,-34605.317914,0.089216,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2016,1664.614739,1860.103306,38304.90945,3524.718045,-34780.191405,0.092017,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2017,1518.727902,1847.051908,27886.69179,3365.77981,-24520.91198,0.120695,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2018,1697.388175,1870.980689,25730.99452,3568.368864,-22162.625656,0.13868,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2019,1481.483254,1881.308203,29545.85008,3362.791457,-26183.058623,0.113816,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
北方地区,Northern China,2020,1675.137751,1915.372306,26040.97065,3590.510057,-22450.460593,0.137879,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2000,1605.427174,1975.47731,31108.70719,3580.904484,-27527.802706,0.115109,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2001,1695.593653,1953.66516,30221.80361,3649.258813,-26572.544797,0.120749,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2002,1795.416251,1932.69377,34181.22953,3728.110021,-30453.119509,0.109069,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2003,1761.291952,1768.70482,33099.05323,3529.996772,-29569.056458,0.106649,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2004,1776.372608,1972.0005,33829.7526,3748.373108,-30081.379492,0.110801,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2005,1670.053096,1985.71783,34184.66502,3655.770926,-30528.894094,0.106942,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2006,1727.870649,2032.12682,29297.62148,3759.997469,-25537.624011,0.128338,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2007,1823.642966,2086.07679,22536.06276,3909.719756,-18626.343004,0.173487,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2008,1791.400483,2165.33594,24548.41202,3956.736423,-20591.675597,0.161181,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2009,1824.286692,2207.497925,23752.71674,4031.784617,-19720.932123,0.16974,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2010,1759.990189,2205.020165,23195.6369,3965.010354,-19230.626546,0.170938,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2011,1768.024841,2239.77997,24377.97534,4007.804811,-20370.170529,0.164403,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2012,1773.914245,2321.907634,23789.39036,4095.821879,-19693.568481,0.17217,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2013,1894.052478,2361.789451,25659.71582,4255.841929,-21403.873891,0.165857,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2014,1871.774031,2429.969216,25417.32147,4301.743247,-21115.578223,0.169245,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2015,1943.358627,2440.841358,26939.04828,4384.199985,-22554.848295,0.162745,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2016,1848.356201,2230.337255,26937.37061,4078.693456,-22858.677154,0.151414,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2017,1875.382439,2570.794774,22197.45664,4446.177213,-17751.279427,0.200301,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2018,1846.390169,2502.449319,21353.32968,4348.839488,-17004.490192,0.203661,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2019,1811.901108,2498.972875,22345.00868,4310.873983,-18034.134697,0.192923,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
长江中下游流域地区,Middle and Lower Reaches of Yangtze River,2020,1889.845743,2502.036728,24014.79627,4391.882471,-19622.913799,0.182882,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2000,1000.938898,713.37356,13144.17115,1714.312458,-11429.858692,0.130424,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2001,1033.275359,692.32912,13167.74096,1725.604479,-11442.136481,0.131048,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2002,1031.894306,671.67286,13411.39689,1703.567166,-11707.829724,0.127024,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2003,1078.542123,657.35968,13229.57456,1735.901803,-11493.672757,0.131214,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2004,1005.125663,629.05443,12844.94602,1634.180093,-11210.765927,0.127224,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2005,927.136658,662.84502,13695.44126,1589.981678,-12105.459582,0.116096,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2006,983.049674,619.28051,13049.45468,1602.330184,-11447.124496,0.122789,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2007,1035.446853,628.82224,8184.915844,1664.269093,-6520.646751,0.203334,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2008,1023.038325,639.46303,8181.487639,1662.501355,-6518.986284,0.203203,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2009,1040.508368,656.407965,9125.401008,1696.916333,-7428.484675,0.185955,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2010,1015.973966,646.261219,8660.466545,1662.235185,-6998.23136,0.191934,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2011,1035.006469,662.486425,9072.705701,1697.492894,-7375.212807,0.187099,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2012,993.338586,655.531898,8642.827557,1648.870483,-6993.957074,0.190779,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2013,1054.694343,668.055254,8840.581462,1722.749597,-7117.831865,0.194868,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2014,1007.414937,663.659514,8635.446625,1671.074451,-6964.372174,0.193513,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2015,1040.815085,662.44622,9148.562212,1703.261305,-7445.300907,0.186178,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2016,1038.28742,619.325897,8927.82326,1657.613317,-7270.209943,0.185668,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2017,1067.25371,609.314544,6449.263989,1676.568254,-4772.695735,0.259963,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2018,1063.66015,620.186536,6422.39715,1683.846686,-4738.550464,0.262184,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2019,1022.739579,629.052983,6676.473042,1651.792562,-5024.68048,0.247405,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
华南地区,Southern China,2020,1060.587472,643.870524,6576.491657,1704.457996,-4872.033661,0.259174,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2000,14187.5501,6782.31826,226339.652,20969.86836,-205369.78364,0.092648,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2001,14373.14216,6935.73138,217021.168,21308.87354,-195712.29446,0.098188,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2002,15578.32425,7191.80107,228904.2339,22770.12532,-206134.10858,0.099474,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2003,15963.54019,6840.57508,228102.9277,22804.11527,-205298.81243,0.099973,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2004,15537.05259,7525.53515,231828.093,23062.58774,-208765.50526,0.099481,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2005,15792.76328,7679.89086,227509.7817,23472.65414,-204037.12756,0.103172,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2006,16057.47326,7936.78151,195102.9678,23994.25477,-171108.71303,0.122983,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2007,15627.33026,7922.23351,168749.5696,23549.56377,-145200.00583,0.139553,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2008,15896.16435,8470.08703,162970.2631,24366.25138,-138604.01172,0.149513,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2009,16413.07637,8842.980184,164928.9938,25256.056554,-139672.937246,0.153133,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2010,16074.87298,9121.471296,157879.7591,25196.344276,-132683.414824,0.159592,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2011,16425.91589,9590.71754,162252.2579,26016.63343,-136235.62447,0.160347,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2012,16758.5235,10082.93178,161688.5476,26841.45528,-134847.09232,0.166007,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2013,17619.46753,10649.00551,162280.8513,28268.47304,-134012.37826,0.174195,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2014,16914.00359,10763.90192,169462.6336,27677.90551,-141784.72809,0.163327,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2015,16936.62596,11061.22498,172156.7755,27997.85094,-144158.92456,0.16263,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2016,17350.12473,10476.77685,168700.9501,27826.90158,-140874.04852,0.164948,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2017,16999.89823,11062.31177,147518.3823,28062.21,-119456.1723,0.190229,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2018,17612.72352,10944.31951,143766.7034,28557.04303,-115209.66037,0.198635,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2019,17451.74625,11160.66293,154469.4223,28612.40918,-125857.01312,0.18523,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
全国,China,2020,17607.78985,11172.65972,153621.7525,28780.44957,-124841.30293,0.187346,geodoi,10.3974/geodb.2024.07.07.V1,Yearly Dataset on Forage Production and Demand in China (2000-2020),false
